,summary_text
4043,<sos> 밀크 크림 대박 사장님 친절 쉬 강아지 사랑 <end>
4044,<sos> 밀크 크림 대박 사장님 친절 쉬 강아지 사랑 <end>
4045,<sos> 밀크 크림 대박 사장님 친절 쉬 강아지 사랑 <end>
4046,<sos> 아트 갤러리 내부 인테리어 특이 음료 가격 조용 모 기 이층 자리 에어컨 바람 <end>
4047,<sos> 아트 갤러리 내부 인테리어 특이 음료 가격 조용 모 기 이층 자리 에어컨 바람 <end>
4048,<sos> 아트 갤러리 내부 인테리어 특이 음료 가격 조용 모 기 이층 자리 에어컨 바람 <end>
4049,<sos> 나들이 테이크 아웃 가성 비가 만족 <end>
4050,<sos> 나들이 테이크 아웃 가성 비가 만족 <end>
4051,<sos> 나들이 테이크 아웃 가성 비가 만족 <end>
4052,<sos> 전반적 조용 분위기 <end>
4053,<sos> 전반적 조용 분위기 <end>
4054,<sos> 전반적 조용 분위기 <end>
4055,<sos> 동네 숨 카페 예 가정집 인테리어 카페 카페인 사람 모든 커피 디 카페인 전환 커피숍 <end>
4056,<sos> 동네 숨 카페 예 가정집 인테리어 카페 카페인 사람 모든 커피 디 카페인 전환 커피숍 <end>
4057,<sos> 동네 숨 카페 예 가정집 인테리어 카페 카페인 사람 모든 커피 디 카페인 전환 커피숍 <end>
4058,<sos> 사장님 커피 부심 집 외관 평범 인테리어 다양 커피 종류 핸드 드립 장점 납품 곳 커피 친구 단점 영업시간 달 단위 영업시간 유동적 편이 예 <end>
4059,<sos> 사장님 커피 부심 집 외관 평범 인테리어 다양 커피 종류 핸드 드립 장점 납품 곳 커피 친구 단점 영업시간 달 단위 영업시간 유동적 편이 예 <end>
4060,<sos> 사장님 커피 부심 집 외관 평범 인테리어 다양 커피 종류 핸드 드립 장점 납품 곳 커피 친구 단점 영업시간 달 단위 영업시간 유동적 편이 예 <end>
4061,<sos> 구의 역 근처 위치 바리 스타 카페 원두 다양 선택 커피 맘 커피 맛 추천 산미 커피 추천 콜롬비아 커피 추천 맛 다음 원두 도전 인테리어 깔끔 가게 대리석 테이블 고급 느낌 자리 테이블 네모 여 공부 비즈니스 미팅 콘센트 자리 불편 조용 자리 마음 <end>
4062,<sos> 구의 역 근처 위치 바리 스타 카페 원두 다양 선택 커피 맘 커피 맛 추천 산미 커피 추천 콜롬비아 커피 추천 맛 다음 원두 도전 인테리어 깔끔 가게 대리석 테이블 고급 느낌 자리 테이블 네모 여 공부 비즈니스 미팅 콘센트 자리 불편 조용 자리 마음 <end>
4063,<sos> 구의 역 근처 위치 바리 스타 카페 원두 다양 선택 커피 맘 커피 맛 추천 산미 커피 추천 콜롬비아 커피 추천 맛 다음 원두 도전 인테리어 깔끔 가게 대리석 테이블 고급 느낌 자리 테이블 네모 여 공부 비즈니스 미팅 콘센트 자리 불편 조용 자리 마음 <end>
4064,<sos> 처음 카페 분위기 주시 커피 신기 <end>
4065,<sos> 처음 카페 분위기 주시 커피 신기 <end>
4066,<sos> 처음 카페 분위기 주시 커피 신기 <end>
4067,<sos> 근처 음식점 식사 음주 후 만남 장소 곳 야외 석도 케익 커피 바디 감도 <end>
4068,<sos> 근처 음식점 식사 음주 후 만남 장소 곳 야외 석도 케익 커피 바디 감도 <end>
4069,<sos> 근처 음식점 식사 음주 후 만남 장소 곳 야외 석도 케익 커피 바디 감도 <end>
4070,<sos> 커피 모든 음료 토스트 용 식빵 잼 무료 제공 라 테 <end>
4071,<sos> 커피 모든 음료 토스트 용 식빵 잼 무료 제공 라 테 <end>
4072,<sos> 커피 모든 음료 토스트 용 식빵 잼 무료 제공 라 테 <end>
4073,<sos> 명동 성당 안 시끌시끌 하다 젤 라 맛 종류 모두 가격 대비 질 <end>
4074,<sos> 명동 성당 안 시끌시끌 하다 젤 라 맛 종류 모두 가격 대비 질 <end>
4075,<sos> 명동 성당 안 시끌시끌 하다 젤 라 맛 종류 모두 가격 대비 질 <end>
4076,<sos> 수유 깔끔 카페 판매 인테리어 음료 양도 혼자 가도 카페 <end>
4077,<sos> 수유 깔끔 카페 판매 인테리어 음료 양도 혼자 가도 카페 <end>
4078,<sos> 수유 깔끔 카페 판매 인테리어 음료 양도 혼자 가도 카페 <end>
4079,<sos> 동네 커피 집 조용 카페 코드 노트북 손님 문 조금 하지 곳 <end>
4080,<sos> 동네 커피 집 조용 카페 코드 노트북 손님 문 조금 하지 곳 <end>
4081,<sos> 동네 커피 집 조용 카페 코드 노트북 손님 문 조금 하지 곳 <end>
4082,<sos> 동네 커피 집 조용 카페 코드 노트북 손님 문 조금 하지 곳 <end>
4083,<sos> 동네 커피 집 조용 카페 코드 노트북 손님 문 조금 하지 곳 <end>
4084,<sos> 동네 커피 집 조용 카페 코드 노트북 손님 문 조금 하지 곳 <end>
4085,<sos> 기대 쯤 <end>
4086,<sos> 기대 쯤 <end>
4087,<sos> 기대 쯤 <end>
4088,<sos> 분위기 치즈 안주 모 히 굿 <end>
4089,<sos> 분위기 치즈 안주 모 히 굿 <end>
4090,<sos> 분위기 치즈 안주 모 히 굿 <end>
4091,<sos> 가게 내부 자리 매장 전체적 공간 테이크 아웃 로스터 리 카페 다양 원두 드립 구매 장점 드립 양 스타 사이즈 <end>
4092,<sos> 가게 내부 자리 매장 전체적 공간 테이크 아웃 로스터 리 카페 다양 원두 드립 구매 장점 드립 양 스타 사이즈 <end>
4093,<sos> 가게 내부 자리 매장 전체적 공간 테이크 아웃 로스터 리 카페 다양 원두 드립 구매 장점 드립 양 스타 사이즈 <end>
4094,<sos> 원두 선택 폭 가게 메뉴판 복잡 가게 사람 테이크 아웃 저렴 아메리카 노 홀 감 메뉴판 오해 있음 따뜻 추천 양 <end>
4095,<sos> 원두 선택 폭 가게 메뉴판 복잡 가게 사람 테이크 아웃 저렴 아메리카 노 홀 감 메뉴판 오해 있음 따뜻 추천 양 <end>
4096,<sos> 원두 선택 폭 가게 메뉴판 복잡 가게 사람 테이크 아웃 저렴 아메리카 노 홀 감 메뉴판 오해 있음 따뜻 추천 양 <end>
4097,<sos> 가든 파이브 몰 층 위치 개방적 캐주얼 분위기 카페 오픈 구조 공간 느낌 생과일 주스 토마토 주스 상큼 시원 냉동 일 신선 과일 수플레 팬케이크 주문 분 샐러드 종류 분 끼 식사 커피 수플레 팬케이크 곳 베스트 메뉴 <end>
4098,<sos> 가든 파이브 몰 층 위치 개방적 캐주얼 분위기 카페 오픈 구조 공간 느낌 생과일 주스 토마토 주스 상큼 시원 냉동 일 신선 과일 수플레 팬케이크 주문 분 샐러드 종류 분 끼 식사 커피 수플레 팬케이크 곳 베스트 메뉴 <end>
4099,<sos> 가든 파이브 몰 층 위치 개방적 캐주얼 분위기 카페 오픈 구조 공간 느낌 생과일 주스 토마토 주스 상큼 시원 냉동 일 신선 과일 수플레 팬케이크 주문 분 샐러드 종류 분 끼 식사 커피 수플레 팬케이크 곳 베스트 메뉴 <end>
4100,<sos> 주말 인테리어 커피 맛 깔끔 재 방문 의사 정도 커피 곳 제공 커피나 서비스 가격 화장실 외부 건물 전체 공용 관리 모양 <end>
4101,<sos> 주말 인테리어 커피 맛 깔끔 재 방문 의사 정도 커피 곳 제공 커피나 서비스 가격 화장실 외부 건물 전체 공용 관리 모양 <end>
4102,<sos> 주말 인테리어 커피 맛 깔끔 재 방문 의사 정도 커피 곳 제공 커피나 서비스 가격 화장실 외부 건물 전체 공용 관리 모양 <end>
4103,<sos> 이제 <end>
4104,<sos> 이제 <end>
4105,<sos> 이제 <end>
4106,<sos> 하루 종일 비 날 방문 만석 좌석 회전율 직원 분 검정 옷 있음 친절 커피맛 깔끔 킥 마 일드 느낌 갤러리 화이트 블랙 인테리어 화장실 공용 칸 <end>
4107,<sos> 하루 종일 비 날 방문 만석 좌석 회전율 직원 분 검정 옷 있음 친절 커피맛 깔끔 킥 마 일드 느낌 갤러리 화이트 블랙 인테리어 화장실 공용 칸 <end>
4108,<sos> 하루 종일 비 날 방문 만석 좌석 회전율 직원 분 검정 옷 있음 친절 커피맛 깔끔 킥 마 일드 느낌 갤러리 화이트 블랙 인테리어 화장실 공용 칸 <end>
4109,<sos> 대관 유명 곳 그랜드 피아노 잔잔 음악 분 공연 음식 팬케이크 <end>
4110,<sos> 대관 유명 곳 그랜드 피아노 잔잔 음악 분 공연 음식 팬케이크 <end>
4111,<sos> 대관 유명 곳 그랜드 피아노 잔잔 음악 분 공연 음식 팬케이크 <end>
4112,<sos> 입 구역 인근 조용 카페 다면 제격 조명 분위기 테이블 간격 이야기 나누기 개별 룸 스터디 분 계 시더 <end>
4113,<sos> 입 구역 인근 조용 카페 다면 제격 조명 분위기 테이블 간격 이야기 나누기 개별 룸 스터디 분 계 시더 <end>
4114,<sos> 입 구역 인근 조용 카페 다면 제격 조명 분위기 테이블 간격 이야기 나누기 개별 룸 스터디 분 계 시더 <end>
4115,<sos> 한옥 분위기 안쪽 좌석 평범 맛 데이트 곳 생각 연인 라면 <end>
4116,<sos> 한옥 분위기 안쪽 좌석 평범 맛 데이트 곳 생각 연인 라면 <end>
4117,<sos> 한옥 분위기 안쪽 좌석 평범 맛 데이트 곳 생각 연인 라면 <end>
4118,<sos> 여자 구들 데이트 소개팅 장소 음식 <end>
4119,<sos> 여자 구들 데이트 소개팅 장소 음식 <end>
4120,<sos> 여자 구들 데이트 소개팅 장소 음식 <end>
4121,<sos> 깔끔 분위기 조용 카페 음료 디저트 모두 맛 성비 단체 룸 이용 시 빔 프로젝터 사용 가능 <end>
4122,<sos> 깔끔 분위기 조용 카페 음료 디저트 모두 맛 성비 단체 룸 이용 시 빔 프로젝터 사용 가능 <end>
4123,<sos> 깔끔 분위기 조용 카페 음료 디저트 모두 맛 성비 단체 룸 이용 시 빔 프로젝터 사용 가능 <end>
4124,<sos> 카페 평소 조용 공부 과제 아메리카 노도 원두 탄 케냐 풍미 가격 저렴 <end>
4125,<sos> 카페 평소 조용 공부 과제 아메리카 노도 원두 탄 케냐 풍미 가격 저렴 <end>
4126,<sos> 카페 평소 조용 공부 과제 아메리카 노도 원두 탄 케냐 풍미 가격 저렴 <end>
4127,<sos> 동네 사람 목동 카페 인테리어 리 뉴 얼 전 모던 생각 안 편 곳 강아지 <end>
4128,<sos> 동네 사람 목동 카페 인테리어 리 뉴 얼 전 모던 생각 안 편 곳 강아지 <end>
4129,<sos> 동네 사람 목동 카페 인테리어 리 뉴 얼 전 모던 생각 안 편 곳 강아지 <end>
4130,<sos> 진짜 근방 파니니 최고 마스 때 대신 가기 곳 점심시간 메인 음료 주문 할인 <end>
4131,<sos> 진짜 근방 파니니 최고 마스 때 대신 가기 곳 점심시간 메인 음료 주문 할인 <end>
4132,<sos> 진짜 근방 파니니 최고 마스 때 대신 가기 곳 점심시간 메인 음료 주문 할인 <end>
4133,<sos> 친절 카페 잔 잔 증정 이벤트 점심시간 테이크 아웃 할인 한시적 이벤트 쿠키 조리 부분 밍밍 고소 <end>
4134,<sos> 친절 카페 잔 잔 증정 이벤트 점심시간 테이크 아웃 할인 한시적 이벤트 쿠키 조리 부분 밍밍 고소 <end>
4135,<sos> 친절 카페 잔 잔 증정 이벤트 점심시간 테이크 아웃 할인 한시적 이벤트 쿠키 조리 부분 밍밍 고소 <end>
4136,<sos> 무뚝뚝 친절 하심 깔끔 쾌적 <end>
4137,<sos> 무뚝뚝 친절 하심 깔끔 쾌적 <end>
4138,<sos> 무뚝뚝 친절 하심 깔끔 쾌적 <end>
4139,<sos> 드립 저렴 근처 분위기 카페 <end>
4140,<sos> 드립 저렴 근처 분위기 카페 <end>
4141,<sos> 드립 저렴 근처 분위기 카페 <end>
4142,<sos> 첫인상 카페 라 떼 가격 라 떼 라 떼 <end>
4143,<sos> 첫인상 카페 라 떼 가격 라 떼 라 떼 <end>
4144,<sos> 첫인상 카페 라 떼 가격 라 떼 라 떼 <end>
4145,<sos> 상가 층 위치 카페 조용 분위기 여자 친구 식사 후 <end>
4146,<sos> 상가 층 위치 카페 조용 분위기 여자 친구 식사 후 <end>
4147,<sos> 상가 층 위치 카페 조용 분위기 여자 친구 식사 후 <end>
4148,<sos> 석계 역 산지 년 곳 커피 맛 생각 대학생 때 시험 공부 애착 곳 <end>
4149,<sos> 석계 역 산지 년 곳 커피 맛 생각 대학생 때 시험 공부 애착 곳 <end>
4150,<sos> 석계 역 산지 년 곳 커피 맛 생각 대학생 때 시험 공부 애착 곳 <end>
4151,<sos> 겉 때 실제 내부 때 분위기 의미 한옥 개조 운영 카페 천장 내부 분위기 바닥 그림 장식 인상적 벽 샹들리에 유럽 분위기 비슷 플랫 화이트 유명 마포 카페 원두 커피 맛 풍부 풍미 한참 양이 잔 주시 재 방문 의사 <end>
4152,<sos> 겉 때 실제 내부 때 분위기 의미 한옥 개조 운영 카페 천장 내부 분위기 바닥 그림 장식 인상적 벽 샹들리에 유럽 분위기 비슷 플랫 화이트 유명 마포 카페 원두 커피 맛 풍부 풍미 한참 양이 잔 주시 재 방문 의사 <end>
4153,<sos> 겉 때 실제 내부 때 분위기 의미 한옥 개조 운영 카페 천장 내부 분위기 바닥 그림 장식 인상적 벽 샹들리에 유럽 분위기 비슷 플랫 화이트 유명 마포 카페 원두 커피 맛 풍부 풍미 한참 양이 잔 주시 재 방문 의사 <end>
4154,<sos> 모든 음료 주문 컵 케익 서비스 제공 맛 <end>
4155,<sos> 모든 음료 주문 컵 케익 서비스 제공 맛 <end>
4156,<sos> 모든 음료 주문 컵 케익 서비스 제공 맛 <end>
4157,<sos> 야외 테라스 날 날 날씨 만끽 곳 테라스 관리 지저분 위험 방문 <end>
4158,<sos> 야외 테라스 날 날 날씨 만끽 곳 테라스 관리 지저분 위험 방문 <end>
4159,<sos> 야외 테라스 날 날 날씨 만끽 곳 테라스 관리 지저분 위험 방문 <end>
4160,<sos> 재료 건강 빵 프랑스 산 버터 파이 아침 문 빵 속 편안 곳 <end>
4161,<sos> 재료 건강 빵 프랑스 산 버터 파이 아침 문 빵 속 편안 곳 <end>
4162,<sos> 재료 건강 빵 프랑스 산 버터 파이 아침 문 빵 속 편안 곳 <end>
4163,<sos> 망원동 시작 때 카페 마카롱 디저트 <end>
4164,<sos> 망원동 시작 때 카페 마카롱 디저트 <end>
4165,<sos> 망원동 시작 때 카페 마카롱 디저트 <end>
4166,<sos> 외국 재료 고급 맛 가격 있음 손님 카페 혼 카페 <end>
4167,<sos> 외국 재료 고급 맛 가격 있음 손님 카페 혼 카페 <end>
4168,<sos> 외국 재료 고급 맛 가격 있음 손님 카페 혼 카페 <end>
4169,<sos> 최근 커피 돌체 라 떼 맛 사장님 커피 메뉴 추천 친절 원래 약국 곳 특색 카페 단골 <end>
4170,<sos> 최근 커피 돌체 라 떼 맛 사장님 커피 메뉴 추천 친절 원래 약국 곳 특색 카페 단골 <end>
4171,<sos> 최근 커피 돌체 라 떼 맛 사장님 커피 메뉴 추천 친절 원래 약국 곳 특색 카페 단골 <end>
4172,<sos> 안쪽 조용 다락방 안내 시간 차 팬케이크 기대 이상 <end>
4173,<sos> 안쪽 조용 다락방 안내 시간 차 팬케이크 기대 이상 <end>
4174,<sos> 안쪽 조용 다락방 안내 시간 차 팬케이크 기대 이상 <end>
4175,<sos> 벚꽃 포토 존 유명 카페 주택 개조 분위기 아늑 느낌 베이커리 커피 종류 맛 <end>
4176,<sos> 벚꽃 포토 존 유명 카페 주택 개조 분위기 아늑 느낌 베이커리 커피 종류 맛 <end>
4177,<sos> 벚꽃 포토 존 유명 카페 주택 개조 분위기 아늑 느낌 베이커리 커피 종류 맛 <end>
4178,<sos> 테이블 매장 컵 케익 존 맛 임 사람 때 가야 재 방문 의사 있음 <end>
4179,<sos> 테이블 매장 컵 케익 존 맛 임 사람 때 가야 재 방문 의사 있음 <end>
4180,<sos> 테이블 매장 컵 케익 존 맛 임 사람 때 가야 재 방문 의사 있음 <end>
4181,<sos> 분위기 곳 레트 방앗간 커피 맛 애매 커피 다음 녹차 연 남동 카페 <end>
4182,<sos> 분위기 곳 레트 방앗간 커피 맛 애매 커피 다음 녹차 연 남동 카페 <end>
4183,<sos> 분위기 곳 레트 방앗간 커피 맛 애매 커피 다음 녹차 연 남동 카페 <end>
4184,<sos> 음식 원래 말차 푸딩 유명 주문 초저녁 쯤 방문 대 밀크 푸딩 팥 메인 빙수 메뉴 이름 내부 명이 서 방문 화장실 남녀 공용 <end>
4185,<sos> 음식 원래 말차 푸딩 유명 주문 초저녁 쯤 방문 대 밀크 푸딩 팥 메인 빙수 메뉴 이름 내부 명이 서 방문 화장실 남녀 공용 <end>
4186,<sos> 음식 원래 말차 푸딩 유명 주문 초저녁 쯤 방문 대 밀크 푸딩 팥 메인 빙수 메뉴 이름 내부 명이 서 방문 화장실 남녀 공용 <end>
4187,<sos> 곰돌이 인형 한쪽 벽면 분위기 따뜻 음료 맛 연남동 골목 위치 손님 시간 그만큼 음료 맛 포근 분위기 승부 카페 벽면 화면 흑백 영화 앞 포토 존 사진 카운터 디저트 손님 대상 사진 인화 서비스 카페 디저트 추억 점 맘 아메리카 노랑 코 음료 주문 아이스 코 제맛 코 맛 맘 연 남 분위기 카페 추천 <end>
4188,<sos> 곰돌이 인형 한쪽 벽면 분위기 따뜻 음료 맛 연남동 골목 위치 손님 시간 그만큼 음료 맛 포근 분위기 승부 카페 벽면 화면 흑백 영화 앞 포토 존 사진 카운터 디저트 손님 대상 사진 인화 서비스 카페 디저트 추억 점 맘 아메리카 노랑 코 음료 주문 아이스 코 제맛 코 맛 맘 연 남 분위기 카페 추천 <end>
4189,<sos> 곰돌이 인형 한쪽 벽면 분위기 따뜻 음료 맛 연남동 골목 위치 손님 시간 그만큼 음료 맛 포근 분위기 승부 카페 벽면 화면 흑백 영화 앞 포토 존 사진 카운터 디저트 손님 대상 사진 인화 서비스 카페 디저트 추억 점 맘 아메리카 노랑 코 음료 주문 아이스 코 제맛 코 맛 맘 연 남 분위기 카페 추천 <end>
4190,<sos> 따뜻 분위기 카페 분 가정 친절 디저트 메뉴 다음 아메리카 노 밋밋 마 샷 부분 감동 <end>
4191,<sos> 따뜻 분위기 카페 분 가정 친절 디저트 메뉴 다음 아메리카 노 밋밋 마 샷 부분 감동 <end>
4192,<sos> 따뜻 분위기 카페 분 가정 친절 디저트 메뉴 다음 아메리카 노 밋밋 마 샷 부분 감동 <end>
4193,<sos> 매장 규모 작고 종류 메뉴 자체 특색 딥 카 라멜라 떼 컵 윗부분 견과 신기 때 독특 자리 테이크 아웃 라 떼 곳 비슷 딥 카 라멜라 떼 매장 깔끔 오피스텔 밑 화장실 키 해 스탠딩 테이블 스타 용도 영자 신문 포인트 적립 가능 위생적 직원 분 친절 재 방문 의사 <end>
4194,<sos> 매장 규모 작고 종류 메뉴 자체 특색 딥 카 라멜라 떼 컵 윗부분 견과 신기 때 독특 자리 테이크 아웃 라 떼 곳 비슷 딥 카 라멜라 떼 매장 깔끔 오피스텔 밑 화장실 키 해 스탠딩 테이블 스타 용도 영자 신문 포인트 적립 가능 위생적 직원 분 친절 재 방문 의사 <end>
4195,<sos> 매장 규모 작고 종류 메뉴 자체 특색 딥 카 라멜라 떼 컵 윗부분 견과 신기 때 독특 자리 테이크 아웃 라 떼 곳 비슷 딥 카 라멜라 떼 매장 깔끔 오피스텔 밑 화장실 키 해 스탠딩 테이블 스타 용도 영자 신문 포인트 적립 가능 위생적 직원 분 친절 재 방문 의사 <end>
4196,<sos> 밥 카페 발견 곳 오픈 얼마 깔끔 마카롱 지금 오픈 이벤트 판매 <end>
4197,<sos> 밥 카페 발견 곳 오픈 얼마 깔끔 마카롱 지금 오픈 이벤트 판매 <end>
4198,<sos> 밥 카페 발견 곳 오픈 얼마 깔끔 마카롱 지금 오픈 이벤트 판매 <end>
4199,<sos> 직 장가 근처 라 점심시간 사람 커피 더 테이블 <end>
4200,<sos> 직 장가 근처 라 점심시간 사람 커피 더 테이블 <end>
4201,<sos> 직 장가 근처 라 점심시간 사람 커피 더 테이블 <end>
4202,<sos> 테이크 아웃 카페 기본 사이즈 양도 상 원두 <end>
4203,<sos> 테이크 아웃 카페 기본 사이즈 양도 상 원두 <end>
4204,<sos> 테이크 아웃 카페 기본 사이즈 양도 상 원두 <end>
4205,<sos> 크림 치즈 라즈베리 맛과 맛 개인적 입맛 라즈베리 <end>
4206,<sos> 크림 치즈 라즈베리 맛과 맛 개인적 입맛 라즈베리 <end>
4207,<sos> 크림 치즈 라즈베리 맛과 맛 개인적 입맛 라즈베리 <end>
4208,<sos> 커피 매장 고 매장 컵 일 도중 커피 테이크 아웃 친절 <end>
4209,<sos> 커피 매장 고 매장 컵 일 도중 커피 테이크 아웃 친절 <end>
4210,<sos> 커피 매장 고 매장 컵 일 도중 커피 테이크 아웃 친절 <end>
4211,<sos> 조용 식물 힐링 느낌 요거트 화장실 <end>
4212,<sos> 조용 식물 힐링 느낌 요거트 화장실 <end>
4213,<sos> 조용 식물 힐링 느낌 요거트 화장실 <end>
4214,<sos> 사당 점 화장실 깔끔 ㅎ <end>
4215,<sos> 사당 점 화장실 깔끔 ㅎ <end>
4216,<sos> 사당 점 화장실 깔끔 ㅎ <end>
4217,<sos> 낭시 쿠키 비스킷 케이크 디저트 종류 사장님 친절 <end>
4218,<sos> 낭시 쿠키 비스킷 케이크 디저트 종류 사장님 친절 <end>
4219,<sos> 낭시 쿠키 비스킷 케이크 디저트 종류 사장님 친절 <end>
4220,<sos> 테이크 아웃 최적화 카페 저렴 가격 커피 맛 곳 사장님 친절 <end>
4221,<sos> 테이크 아웃 최적화 카페 저렴 가격 커피 맛 곳 사장님 친절 <end>
4222,<sos> 테이크 아웃 최적화 카페 저렴 가격 커피 맛 곳 사장님 친절 <end>
4223,<sos> 파시 사장님 계절 디저트 있음 가게 분위기 시국 테이크 아웃 아 <end>
4224,<sos> 파시 사장님 계절 디저트 있음 가게 분위기 시국 테이크 아웃 아 <end>
4225,<sos> 파시 사장님 계절 디저트 있음 가게 분위기 시국 테이크 아웃 아 <end>
4226,<sos> 친절 가게 메뉴 <end>
4227,<sos> 친절 가게 메뉴 <end>
4228,<sos> 친절 가게 메뉴 <end>
4229,<sos> 밀크 가격 무난 <end>
4230,<sos> 밀크 가격 무난 <end>
4231,<sos> 밀크 가격 무난 <end>
4232,<sos> 호밀 빵 샌드위치 치아 바 샌드위치 음료 음료 주문 공부 학생 샌드위치 양 <end>
4233,<sos> 호밀 빵 샌드위치 치아 바 샌드위치 음료 음료 주문 공부 학생 샌드위치 양 <end>
4234,<sos> 호밀 빵 샌드위치 치아 바 샌드위치 음료 음료 주문 공부 학생 샌드위치 양 <end>
4235,<sos> 디저트 맛 집 인테리어 안 포장 <end>
4236,<sos> 디저트 맛 집 인테리어 안 포장 <end>
4237,<sos> 디저트 맛 집 인테리어 안 포장 <end>
4238,<sos> 인 테이크 아웃 코코넛 레 레 정석 피 스타 레 레 어의 정석 <end>
4239,<sos> 인 테이크 아웃 코코넛 레 레 정석 피 스타 레 레 어의 정석 <end>
4240,<sos> 인 테이크 아웃 코코넛 레 레 정석 피 스타 레 레 어의 정석 <end>
4241,<sos> 외관 오묘 느낌 내부 커피 무난 맛 라미 수가 득 라미 수도 처음 송리 카페 촌 호수 카페 잠실 카페 <end>
4242,<sos> 외관 오묘 느낌 내부 커피 무난 맛 라미 수가 득 라미 수도 처음 송리 카페 촌 호수 카페 잠실 카페 <end>
4243,<sos> 외관 오묘 느낌 내부 커피 무난 맛 라미 수가 득 라미 수도 처음 송리 카페 촌 호수 카페 잠실 카페 <end>
4244,<sos> 비 체 진짜 케익 레이어 맛 달콤 풍부 향 음료 매장 <end>
4245,<sos> 비 체 진짜 케익 레이어 맛 달콤 풍부 향 음료 매장 <end>
4246,<sos> 비 체 진짜 케익 레이어 맛 달콤 풍부 향 음료 매장 <end>
4247,<sos> 드립 커피 방문 오랑 오랑 커피 맛 별 점 까닭 위생 여성 직원 분 커피 싱크대 은색 스푼 물 드립 커피 스푼 입 대 스푼 커피 한 뜨악 드립 커피 스푼 입술 뜨악 가 남 입 커피 기분 찝찝 맘 불편 집 찌개 국자 커피 남 입 수저 불쾌 일 테 이스트 가게 유리 잔 고려 <end>
4248,<sos> 드립 커피 방문 오랑 오랑 커피 맛 별 점 까닭 위생 여성 직원 분 커피 싱크대 은색 스푼 물 드립 커피 스푼 입 대 스푼 커피 한 뜨악 드립 커피 스푼 입술 뜨악 가 남 입 커피 기분 찝찝 맘 불편 집 찌개 국자 커피 남 입 수저 불쾌 일 테 이스트 가게 유리 잔 고려 <end>
4249,<sos> 드립 커피 방문 오랑 오랑 커피 맛 별 점 까닭 위생 여성 직원 분 커피 싱크대 은색 스푼 물 드립 커피 스푼 입 대 스푼 커피 한 뜨악 드립 커피 스푼 입술 뜨악 가 남 입 커피 기분 찝찝 맘 불편 집 찌개 국자 커피 남 입 수저 불쾌 일 테 이스트 가게 유리 잔 고려 <end>
4250,<sos> 직원 친절 하세 음료 맛 평범 <end>
4251,<sos> 직원 친절 하세 음료 맛 평범 <end>
4252,<sos> 직원 친절 하세 음료 맛 평범 <end>
4253,<sos> 카페 바닐라 밀크 시럽 병 밀크 잔 성비 바닐라 녹차 쑥 녹차 구매 후기 시럽 구매 카페 방문 반지 답답 아담 느낌 파크 조용 동네 느낌 인테리어 마음 테이블 매장 적절 <end>
4254,<sos> 카페 바닐라 밀크 시럽 병 밀크 잔 성비 바닐라 녹차 쑥 녹차 구매 후기 시럽 구매 카페 방문 반지 답답 아담 느낌 파크 조용 동네 느낌 인테리어 마음 테이블 매장 적절 <end>
4255,<sos> 카페 바닐라 밀크 시럽 병 밀크 잔 성비 바닐라 녹차 쑥 녹차 구매 후기 시럽 구매 카페 방문 반지 답답 아담 느낌 파크 조용 동네 느낌 인테리어 마음 테이블 매장 적절 <end>
4256,<sos> 눈 곳 성수동 카페 인테리어 좌석 커피 한잔 영화 감상 카페 슈페너 독특 맛 기억 카페 <end>
4257,<sos> 눈 곳 성수동 카페 인테리어 좌석 커피 한잔 영화 감상 카페 슈페너 독특 맛 기억 카페 <end>
4258,<sos> 눈 곳 성수동 카페 인테리어 좌석 커피 한잔 영화 감상 카페 슈페너 독특 맛 기억 카페 <end>
4259,<sos> 산 미도 원두 곳 인테리어 모던 사진 <end>
4260,<sos> 산 미도 원두 곳 인테리어 모던 사진 <end>
4261,<sos> 산 미도 원두 곳 인테리어 모던 사진 <end>
4262,<sos> 동네 맛 집이 한곳 대만족 대신 제일 기대 라 구 오픈 샌드위치 가격 맛 다음 파스타 시즌 때 <end>
4263,<sos> 동네 맛 집이 한곳 대만족 대신 제일 기대 라 구 오픈 샌드위치 가격 맛 다음 파스타 시즌 때 <end>
4264,<sos> 동네 맛 집이 한곳 대만족 대신 제일 기대 라 구 오픈 샌드위치 가격 맛 다음 파스타 시즌 때 <end>
4265,<sos> 이태원 해방촌 루프 탑 맛 집 오리올 뷰 <end>
4266,<sos> 이태원 해방촌 루프 탑 맛 집 오리올 뷰 <end>
4267,<sos> 이태원 해방촌 루프 탑 맛 집 오리올 뷰 <end>
4268,<sos> 오리올 본점 케이크 가게 고요 시장 안 계단 위험 해 케이크 기대 만큼 루프 탑 하늘 <end>
4269,<sos> 오리올 본점 케이크 가게 고요 시장 안 계단 위험 해 케이크 기대 만큼 루프 탑 하늘 <end>
4270,<sos> 오리올 본점 케이크 가게 고요 시장 안 계단 위험 해 케이크 기대 만큼 루프 탑 하늘 <end>
4271,<sos> 인생 산도 빵 와사비 소스 <end>
4272,<sos> 인생 산도 빵 와사비 소스 <end>
4273,<sos> 인생 산도 빵 와사비 소스 <end>
4274,<sos> 분위기 밥 누나 촬영 이야기 차 마 시기 곳 다음 저녁 가야 벌꿀 레몬 말차 오묘 우유 크림 득 하서 <end>
